id,produto,price,date,fabricante
940,"Pasta - Penne, Rigate, Dry",168,07.03.2025,Vimbo
941,Figs,96,02.10.2023,Quinu
942,Breakfast Quesadillas,159,24.10.2023,Trudeo
943,Sea Bass - Fillets,63,03.04.2025,Jazzy
944,"Pasta - Lasagna, Dry",84,02.12.2024,Wordify
945,"Beef - Ground, Extra Lean, Fresh",138,25.05.2024,Skimia
946,"Brocolinni - Gaylan, Chinese",91,27.04.2025,Flipstorm
947,French Pastries,34,13.01.2024,Layo
948,Muffin - Mix - Bran And Maple 15l,102,28.01.2025,Yakitri
949,Yeast Dry - Fermipan,99,09.12.2024,Wordify
950,Temperature Recording Station,158,21.04.2024,Buzzshare
951,Plasticspoonblack,50,09.06.2024,Blognation
952,Soup - Campbells Chili Veg,68,07.04.2025,Shufflebeat
953,Bread - French Stick,143,17.04.2025,Zooveo
954,Muffin Batt - Choc Chk,4,16.09.2024,Kwilith
955,Bread - Focaccia Quarter,72,22.05.2025,Jaxnation
956,Avocado,103,02.10.2023,BlogXS
957,"Beef - Chuck, Boneless",151,11.02.2024,Realblab
958,"Chocolate - Pistoles, White",8,13.02.2025,Twitterbeat
959,Chef Hat 25cm,24,09.10.2023,Zava
960,Fib N9 - Prague Powder,77,26.05.2024,Teklist
961,Juice - Lagoon Mango,187,18.10.2024,Yadel
962,Bread - 10 Grain,147,30.09.2024,Layo
963,"Loaf Pan - 2 Lb, Foil",81,16.06.2025,Trudoo
964,Beans - Fava Fresh,131,27.09.2023,Photobug
965,Cake - Mini Potato Pancake,96,04.05.2025,Viva
966,"Pork - Bacon, Sliced",46,04.05.2025,Jabbercube
967,"Iced Tea - Lemon, 340ml",29,18.10.2023,Meemm
968,Apple - Macintosh,121,11.05.2024,Gabtype
969,Beer - Upper Canada Lager,153,11.02.2025,Feedmix
970,Tomatoes - Roma,140,09.10.2023,Yodo
971,Foil Cont Round,197,24.02.2024,Twimm
972,Bread - Triangle White,196,23.01.2024,Youtags
973,Bag - Regular Kraft 20 Lb,84,30.03.2025,Nlounge
974,Juice - Orange,43,03.02.2025,Vinte
975,Soup - Cream Of Potato / Leek,34,01.10.2024,Mymm
976,Salmon Steak - Cohoe 6 Oz,72,08.12.2023,Topiclounge
977,Foie Gras,172,18.03.2024,Photojam
978,"Cheese - Brie, Triple Creme",70,30.12.2023,Devcast
979,Mace,100,09.05.2025,Podcat
980,Magnotta - Bel Paese White,189,05.11.2023,Flipopia
981,Pernod,34,06.06.2025,Meetz
982,Bonito Flakes - Toku Katsuo,89,01.01.2024,Leexo
983,Sprouts Dikon,132,19.05.2024,Browsecat
984,"Beans - Kidney, Red Dry",118,21.11.2023,Fiveclub
985,Scallops - 10/20,178,19.02.2024,Photospace
986,"Chilli Paste, Hot Sambal Oelek",7,26.11.2024,Dynabox
987,Pepper Squash,108,04.05.2024,Voonix
988,Toamtoes 6x7 Select,19,21.08.2024,Twinder
989,Herb Du Provence - Primerba,110,15.05.2025,Tagchat
990,Sauerkraut,28,25.07.2024,Mita
991,Cheese Cloth No 100,187,09.06.2024,Riffpedia
992,"Chicken - Wings, Tip Off",160,16.07.2024,Flipstorm
993,Pork Ham Prager,18,06.10.2023,Flipstorm
994,Beets,166,11.06.2025,Eamia
995,Bread - Malt,107,15.05.2024,Innotype
996,Red Cod Fillets - 225g,49,03.05.2024,Thoughtmix
997,Nantuket Peach Orange,117,02.03.2025,Rhyzio
998,Tomato - Green,59,02.01.2024,Dynava
999,Sproutsmustard Cress,114,27.03.2024,Riffpath
1000,Banana - Green,19,02.03.2025,Twitterworks
